Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
l3_3,-0.455068887705576,0.298635968549642,0.01562388593339,0,0,0,0.0203799779245609,1.67743469297318E-05,1.06772012010953E-05,-2.53160586966875E-06,1.34347167100178E-05,1.93830131350939E-06,2.55169539842222E-05,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l3_3.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l3_3.STL,,LEG_3_3^l_BOT_URDF_renamed v3222(2)-1,Origin_s3_3_l3_3,Axis_s3_3_l3_3,s3_3_l3_3,fixed,-0.000716557743791445,-0.00114176500686924,0.0013645905820948,-0.00192897130649287,-0.0019164284633448,-0.00260016535407087,s3_3,0,0,0,,,,,,,,,,,,
f_3,-0.513245227389399,0.364258705370721,-0.0187258815587018,0,0,0,0.0030798278656525,1.75255752885669E-07,-3.15913797845352E-08,6.25914644800436E-09,1.75668955890129E-07,-6.2988927667462E-09,2.0502532453975E-07,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/f_3.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/f_3.STL,,FEET_3^l_BOT_URDF_renamed v3222(2)-1,Origin_j3_4,Axis12,j3_4,fixed,9.42085671844471E-05,-9.48261468535425E-05,-0.00919659476680356,0.0106224914264952,0.0105527205584925,5.60491281250705E-05,l3_3,0,0,0,,,,,,,,,,,,
s4,-0.175899322429888,0.17208558012514,0.0224908039781763,0,0,0,0.0549993897912535,1.1663836738682E-05,-2.86078186669532E-06,-3.25761528920688E-07,1.16375078398475E-05,-3.27225737356337E-07,9.22551281730925E-06,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s4.STL,0.643137254901961,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s4.STL,,SERVO_4_1^l_BOT_URDF_renamed v3222(2)-1,Origin_b_s4,,b_s4,fixed,0.022459,-0.037253,0.013934,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
l4_1,-0.360829853383096,0.20198221095938,0.0184727578806672,0,0,0,0.0210998918388924,1.77344714077883E-05,3.48878889349149E-06,-1.73447376621211E-07,2.13052898362034E-05,3.93407759521532E-07,1.11184028058419E-05,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l4_1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l4_1.STL,,LEG_4_1^l_BOT_URDF_renamed v3222(2)-1,Origin_j4_1,Axis13,j4_1,fixed,-0.346202430672016,-0.151104398890805,-0.001199999912641,0,0,-1.56538579439802,s4,0,0,0,,,,,,,,,,,,
s4_2,-0.363560541507548,0.222464598846957,0.0194140518610746,0,0,0,0.0328373418492128,8.91392890923562E-06,-2.96887243992133E-06,2.48695124388136E-07,8.98362998841164E-06,2.45792504005792E-07,8.26690043295519E-06,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s4_2.STL,0.643137254901961,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s4_2.STL,,SERVO_4_2^l_BOT_URDF_renamed v3222(2)-1,Origin_l4_1_s4_2,Axis_l4_1_s4_2,l4_1_s4_2,fixed,0,0,0,0,0,0.00260201895707494,l4_1,0,0,0,,,,,,,,,,,,
l4_2,-0.399880111489338,0.249120368777688,0.0114022580698896,0,0,0,0.0192528158273913,1.48542338479035E-05,1.03179987606699E-06,1.09104939134997E-07,1.41644305383161E-05,-5.45028255868381E-08,2.80037807146851E-05,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l4_2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l4_2.STL,,LEG_4_2^l_BOT_URDF_renamed v3222(2)-1,Origin_j4_2,Axis14,j4_2,fixed,0,0,0,-0.00288153037078224,-0.00286275222608806,-0.00259789439765406,s4_2,0,0,0,,,,,,,,,,,,
s4_3,-0.433924871782382,0.292101322102825,0.00989955599253134,0,0,0,0.0241727552145899,4.85376690204642E-06,2.48639656869381E-07,-5.91912414502247E-09,5.92686099813687E-06,4.34993000151992E-09,8.53499933418279E-06,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s4_3.STL,0.643137254901961,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s4_3.STL,,SERVO_4_3^l_BOT_URDF_renamed v3222(2)-1,Origin_j4_3,Axis15,j4_3,fixed,0.000966791611313966,0.00145625519461845,-0.00302803338552709,0.00665219182607462,0.00657442037988003,0.00262388626923144,l4_2,0,0,0,,,,,,,,,,,,
l4_3,-0.455785097195022,0.29750692521988,0.015623886587526,0,0,0,0.0203799756003426,1.6774346060355E-05,1.06772006877734E-05,-2.53160563718088E-06,1.34347159568884E-05,1.93830127988831E-06,2.55169524335073E-05,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l4_3.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l4_3.STL,,LEG_4_3^l_BOT_URDF_renamed v3222(2)-1,Origin_s4_3_l4_3,Axis_s4_3_l4_3,s4_3_l4_3,fixed,0,0,0,0,0,-0.00260201895707467,s4_3,0,0,0,,,,,,,,,,,,
f_4,-0.513245230448724,0.36425870648169,-0.0187258775007246,0,0,0,0.0030798303988862,1.752558139856E-07,-3.15913847449611E-08,6.25919452351479E-09,1.7566905768638E-07,-6.29889908832348E-09,2.05025376939716E-07,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/f_4.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/f_4.STL,,FEET_4^l_BOT_URDF_renamed v3222(2)-1,Origin_j4_4,Axis16,j4_4,fixed,-0.00084457502449406,0.000419019989774061,0.0269905705946337,-0.0312133413694032,-0.0309950949456212,0.000483808272712577,l4_3,0,0,0,,,,,,,,,,,,
cb,-4.85972373454047E-13,0.00363282726513761,-0.00280912601207582,0,0,0,0.00217028149426883,2.67489404265614E-07,-1.27171688291849E-18,3.32001680725389E-17,2.14887158536916E-07,-7.35015121718886E-09,4.59393361071686E-07,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/cb.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/cb.STL,,CAM_BASE^l_BOT_URDF_renamed v3222(2)-1,Origin_b_cb,,b_cb,fixed,-0.15835,-0.067572,0.12982,1.5708,1.5656,-3.1416,base_link,0,0,0,,,,,,,,,,,,
